TransactionLineItemID,TransactionID,TransactionDate,TransactionTime,StoreID,StoreName,StoreLocation,StoreRegion,Latitude,Longitude,StoreType,EmployeeID,EmployeeFirstName,EmployeeLastName,ShiftType,CustomerID,CustomerFirstName,CustomerLastName,CustomerEmail,CustomerSinceDate,CustomerGender,CustomerAge,LoyaltyMemberID,LoyaltyStatus,PointsEarned,PointsBalance,IsRewardRedeemed,RewardType,ProductID,ProductName,ProductCategory,ProductSubCategory,OrderType,PaymentMethod,UnitPrice,Quantity,TotalLineItemPrice,DayOfWeek,Daypart
1,100001,26-11-2024,23:50:38,S001,Downtown Main,New York,Northeast,40.7589,-73.9851,Premium,EMP009,David,Hobbs,Morning,CUS014,Angela,Thompson,bmorris@example.net,23-12-2021,F,59,LM014,Silver,23,413,TRUE,Free Pastry,P006,Frappuccino,Cold Beverages,Blended,Take-Out,Reward,5.25,3,15.75,Tuesday,Evening
2,100002,01-06-2025,22:10:29,S007,Santa Monica,Los Angeles,West Coast,34.0242,-118.4965,Cafe,EMP025,Brian,Santiago,Morning,CUS145,Anthony,Griffin,dyork@example.com,07-04-2022,M,54,LM145,Silver,10,623,TRUE,50% Off,P010,Chocolate Croissant,Food,Pastry,Mobile Order,Reward,3.5,2,7,Sunday,Evening
3,100002,01-06-2025,22:10:29,S007,Santa Monica,Los Angeles,West Coast,34.0242,-118.4965,Cafe,EMP025,Brian,Santiago,Morning,CUS145,Anthony,Griffin,dyork@example.com,07-04-2022,M,54,NULL,Non-Member,0,0,TRUE,50% Off,P004,Iced Coffee,Cold Beverages,Iced Coffee,Mobile Order,Reward,3.75,2,7.5,Sunday,Evening
4,100002,01-06-2025,22:10:29,S007,Santa Monica,Los Angeles,West Coast,34.0242,-118.4965,Cafe,EMP025,Brian,Santiago,Evening,CUS145,Anthony,Griffin,dyork@example.com,07-04-2022,M,54,LM145,Silver,23,219,TRUE,50% Off,P006,Frappuccino,Cold Beverages,Blended,Mobile Order,Reward,5.25,3,15.75,Sunday,Evening
5,100002,01-06-2025,22:10:29,S007,Santa Monica,Los Angeles,West Coast,34.0242,-118.4965,Cafe,EMP025,Brian,Santiago,Evening,CUS145,Anthony,Griffin,dyork@example.com,07-04-2022,M,54,LM145,Gold,21,1196,TRUE,Free Beverage,P006,Frappuccino,Cold Beverages,Blended,Mobile Order,Reward,5.25,2,10.5,Sunday,Evening
6,100002,01-06-2025,22:10:29,S007,Santa Monica,Los Angeles,West Coast,34.0242,-118.4965,Cafe,EMP025,Brian,Santiago,Morning,CUS145,Anthony,Griffin,dyork@example.com,07-04-2022,M,54,LM145,Gold,33,469,TRUE,Free Pastry,P011,Breakfast Sandwich,Food,Sandwich,Mobile Order,Reward,5.5,3,16.5,Sunday,Evening
7,100002,01-06-2025,22:10:29,S007,Santa Monica,Los Angeles,West Coast,34.0242,-118.4965,Cafe,EMP025,Brian,Santiago,Afternoon,CUS145,Anthony,Griffin,dyork@example.com,07-04-2022,M,54,LM145,Silver,11,957,TRUE,Free Pastry,P004,Iced Coffee,Cold Beverages,Iced Coffee,Mobile Order,Reward,3.75,2,7.5,Sunday,Evening
8,100002,01-06-2025,22:10:29,S007,Santa Monica,Los Angeles,West Coast,34.0242,-118.4965,Cafe,EMP025,Brian,Santiago,Evening,CUS145,Anthony,Griffin,dyork@example.com,07-04-2022,M,54,LM145,Bronze,10,142,TRUE,Free Beverage,P006,Frappuccino,Cold Beverages,Blended,Mobile Order,Reward,5.25,2,10.5,Sunday,Evening
9,100002,01-06-2025,22:10:29,S007,Santa Monica,Los Angeles,West Coast,34.0242,-118.4965,Cafe,EMP025,Brian,Santiago,Evening,CUS145,Anthony,Griffin,dyork@example.com,07-04-2022,M,54,LM145,Bronze,9,523,TRUE,50% Off,P007,Caffe Mocha,Hot Beverages,Espresso,Mobile Order,Reward,4.75,2,9.5,Sunday,Evening
10,100002,01-06-2025,22:10:29,S007,Santa Monica,Los Angeles,West Coast,34.0242,-118.4965,Cafe,EMP025,Brian,Santiago,Morning,CUS145,Anthony,Griffin,dyork@example.com,07-04-2022,M,54,LM145,Silver,13,1742,TRUE,50% Off,P009,Coffee Cake,Food,Pastry,Mobile Order,Reward,3,3,9,Sunday,Evening
11,100002,01-06-2025,22:10:29,S007,Santa Monica,Los Angeles,West Coast,34.0242,-118.4965,Cafe,EMP025,Brian,Santiago,Afternoon,CUS145,Anthony,Griffin,dyork@example.com,07-04-2022,M,54,LM145,Gold,25,1780,TRUE,50% Off,P008,Green Tea Latte,Hot Beverages,Tea,Mobile Order,Reward,4.25,3,12.75,Sunday,Evening
12,100002,01-06-2025,22:10:29,S007,Santa Monica,Los Angeles,West Coast,34.0242,-118.4965,Cafe,EMP025,Brian,Santiago,Evening,CUS145,Anthony,Griffin,dyork@example.com,07-04-2022,M,54,LM145,Gold,24,1169,TRUE,Free Beverage,P005,Cold Brew,Cold Beverages,Cold Brew,Mobile Order,Reward,4,3,12,Sunday,Evening
